image_name,width,height,coord_x,coord_y,percent_x,percent_y
ajovalot,1456,832,838,465,57.55,55.89
anderssonit,1456,832,971,356,66.7,42.79
avokadot,1344,896,773,396,57.52,44.2
bazookat,832,1456,444,614,53.37,42.16
bon-bonit,1232,928,480,379,38.96,40.83
bonnie_ja_clyde,1456,832,748,367,51.37,44.11
burritot,832,1456,428,662,51.44,45.47
daisarit,1024,1024,482,477,47.07,46.58
etuessu,832,1456,397,579,47.72,39.78
etuvalot,832,1456,519,565,62.26,38.8
hauskat_laukut,1344,896,555,417,41.29,46.53
hinkit,1456,832,1028,357,70.62,42.89
ismo_ja_seppo,928,1232,392,644,42.24,52.27
iso-deet,832,1456,347,676,41.71,46.41
kannut,1024,1024,596,577,58.2,56.35
kellukkeet,832,1456,420,656,50.48,45.05
ketunnokat,832,1456,488,775,58.65,53.23
keuhkot,1024,1024,498,565,48.63,55.27
manboobs,1456,832,722,447,49.59,53.73
meijerit,1024,1024,509,492,49.71,48.05
melonit,1024,1024,507,517,49.51,50.49
michelin-manit,832,1456,398,623,47.84,42.79
miesoletettu,1456,832,881,399,60.51,47.96
mikkelin_pimut,832,1456,369,716,44.35,49.18
niinkövittu,1456,832,656,555,45.05,66.71
nuuskapussit,1456,832,810,538,55.62,64.66
roiskeläpät,1024,1024,491,476,47.95,46.48
sanni_ja_alma,1456,832,555,499,38.15,59.98
spermateline,1456,832,962,491,66.07,59.01
swingerit,1456,832,507,529,34.82,63.58
tissit,832,1456,398,569,47.84,39.07
tonkat,832,1456,394,658,47.36,45.21
tuutit,1024,1024,495,624,48.34,60.94
utareet,1024,1024,519,501,50.68,50.88
